1,SistemaCore1,2,3,
960,Backup18,1,3,DISCO
961,Limpeza18,2,4,
962,Monitor18,3,5,
963,Agenda18,1,6,
964,Terminal18,2,7,
965,Impressora18,3,8,DISCO
966,Musica18,1,2,
967,Video18,2,3,
968,Mensageiro18,3,4,
969,Relogio18,1,5,
970,Anotacoes18,2,6,DISCO
971,PDFReader18,3,7,
972,GerenciadorTarefas18,1,8,
973,ControleRede18,2,2,
974,Atualizador18,3,3,
975,SegurancaExtra18,1,4,DISCO
976,Browser218,2,5,
977,EditorTexto18,3,6,
978,Planilha18,1,7,
979,Apresentacao18,2,8,
980,IDE18,3,2,DISCO
981,CodigoFonte18,1,3,
982,Relatorios18,2,4,
983,Streaming18,3,5,
984,Dashboard18,1,6,
985,Logs18,2,7,DISCO
986,Auditoria18,3,8,
987,Profiler18,1,2,
988,Simulador18,2,3,
989,Scheduler18,3,4,
990,DriverUpdate18,1,5,DISCO
991,DefesaWeb18,2,6,
992,Docs18,3,7,
993,Slides18,1,8,
994,Tarefas18,2,2,
995,Imagens18,3,3,DISCO
996,CloudSync18,1,4,
997,ServidorLocal18,2,5,
998,Camera18,3,6,
999,Scanner18,1,7,
1000,ProtecaoEmail18,2,8,DISCO
